,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,1stcase,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
20,Czechia,2743,+112,16.0,+5,11.0,2716,45.0,256.0,1.0,Feb 29,10709000.0,49.817492,15.472961999999999,0.025613969558315436,0.40102078016769954,99.01567626686109,0.5833029529711994
21,Ireland,2615,+200,46.0,+10,5.0,2564,59.0,530.0,9.0,Feb 28,4938000.0,53.41291,-8.243889999999999,0.052956662616443904,0.19120458891013384,98.04971319311665,1.7590822179732315
22,Malaysia,2470,+150,35.0,+8,388.0,2047,73.0,76.0,1.0,Jan 24,32366000.0,4.210483999999999,101.97576600000001,0.007631465117716121,15.708502024291498,82.8744939271255,1.417004048582996
23,Denmark,2395,+194,72.0,+7,1.0,2322,113.0,413.0,12.0,Feb 26,5792000.0,56.26392,9.501785,0.04135013812154696,0.04175365344467641,96.95198329853862,3.0062630480167014
24,Chile,2139,+230,7.0,+1,75.0,2057,7.0,112.0,0.4,Mar 02,19116000.0,-35.675146999999996,-71.542969,0.011189579409918392,3.506311360448808,96.16643291257597,0.3272557269752221
25,Luxembourg,1950,+119,21.0,+3,40.0,1889,25.0,3115.0,34.0,Feb 28,626000.0,49.815273,6.129583,0.31150159744408945,2.051282051282051,96.87179487179488,1.0769230769230769
26,Ecuador,1890,+67,57.0,+9,3.0,1830,58.0,107.0,3.0,Feb 28,17643000.0,-1.8312389999999998,-78.183406,0.010712463866689339,0.15873015873015872,96.82539682539682,3.015873015873016
27,Poland,1771,+133,20.0,+2,7.0,1744,3.0,47.0,0.5,Mar 03,37847000.0,51.919438,19.145135999999997,0.004679366924723228,0.3952569169960474,98.47543760587239,1.129305477131564
28,Romania,1760,+308,42.0,+5,169.0,1549,34.0,91.0,2.0,Feb 25,19238000.0,45.943160999999996,24.96676,0.009148560141386838,9.602272727272727,88.01136363636364,2.3863636363636367
29,Japan,1693,0,52.0,0,424.0,1217,56.0,13.0,0.4,Jan 14,126476000.0,36.204824,138.252924,0.0013385938834245233,25.044300059066742,71.88422917897223,3.0714707619610158
30,Russia,1534,+270,8.0,+4,64.0,1462,8.0,11.0,0.05,Jan 30,145934000.0,61.52401,105.31875600000001,0.001051160113475955,4.172099087353325,95.30638852672752,0.5215123859191656
31,Pakistan,1526,+31,14.0,+2,29.0,1483,11.0,7.0,0.06,Feb 25,220892000.0,30.375321000000003,69.345116,0.000690835340347319,1.9003931847968545,97.1821756225426,0.9174311926605505
32,Philippines,1418,+343,71.0,+3,42.0,1305,1.0,13.0,0.6,Jan 29,109581000.0,12.879721,121.77401699999999,0.001294019948713737,2.9619181946403383,92.03102961918195,5.007052186177715
33,Thailand,1388,+143,7.0,+1,97.0,1284,11.0,20.0,0.1,Jan 12,69800000.0,15.870032,100.992541,0.001988538681948424,6.988472622478387,92.507204610951,0.5043227665706052
34,Saudi Arabia,1299,+96,8.0,+4,66.0,1225,12.0,37.0,0.2,Mar 01,34814000.0,23.885942,45.079162,0.0037312575400700867,5.080831408775981,94.30331023864511,0.6158583525789069
35,Indonesia,1285,+130,114.0,+12,64.0,1107,0,5.0,0.4,Mar 01,273524000.0,-0.789275,113.921327,0.0004697942410903614,4.980544747081712,86.147859922179,8.8715953307393
36,Finland,1240,+73,11.0,+2,10.0,1219,32.0,224.0,2.0,Jan 28,5541000.0,61.92411,25.748151,0.022378632015881608,0.8064516129032258,98.30645161290322,0.8870967741935484
37,South Africa,1187,0,1.0,0,31.0,1155,7.0,20.0,0.02,Mar 04,59309000.0,-30.559482,22.937506,0.002001382589488948,2.611625947767481,97.30412805391744,0.08424599831508003
